iter	Passed	Remaining
710	8091	3289
711	8103	3277
712	8115	3266
713	8126	3255
714	8139	3244
715	8150	3232
716	8162	3221
717	8174	3210
718	8186	3199
719	8197	3188
720	8210	3177
721	8222	3165
722	8235	3155
723	8246	3143
724	8258	3132
725	8269	3120
726	8280	3109
727	8292	3098
728	8304	3087
729	8316	3076
730	8328	3064
731	8340	3053
732	8352	3042
733	8364	3031
734	8376	3019
735	8387	3008
736	8398	2997
737	8410	2985
738	8422	2974
739	8433	2963
740	8444	2951
741	8456	2940
742	8467	2929
743	8479	2917
744	8490	2906
745	8502	2894
746	8514	2883
747	8525	2872
748	8537	2861
749	8549	2849
750	8560	2838
751	8572	2827
752	8584	2815
753	8596	2804
754	8607	2793
755	8619	2781
756	8631	2770
757	8642	2759
758	8654	2748
759	8666	2736
760	8678	2725
761	8690	2714
762	8702	2703
763	8715	2692
764	8727	2680
765	8739	2669
766	8750	2658
767	8761	2646
768	8773	2635
769	8785	2624
770	8796	2612
771	8808	2601
772	8820	2590
773	8832	2579
774	8844	2567
775	8856	2556
776	8868	2545
777	8880	2533
778	8891	2522
779	8904	2511
780	8916	2500
781	8928	2488
782	8939	2477
783	8951	2466
784	8963	2454
785	8975	2443
786	8986	2432
787	8998	2421
788	9010	2409
789	9022	2398
790	9033	2386
791	9045	2375
792	9057	2364
793	9068	2352
794	9080	2341
795	9092	2330
796	9103	2318
797	9115	2307
798	9127	2296
799	9139	2284
800	9151	2273
801	9163	2262
802	9175	2251
803	9187	2239
804	9199	2228
805	9211	2217
806	9224	2206
807	9237	2194
808	9249	2183
809	9260	2172
810	9272	2160
811	9284	2149
812	9295	2138
813	9307	2126
814	9320	2115
815	9331	2104
816	9343	2092
817	9354	2081
818	9365	2069
819	9378	2058
820	9390	2047
821	9401	2035
822	9412	2024
823	9423	2012
824	9435	2001
825	9446	1989
826	9457	1978
827	9468	1966
828	9479	1955
829	9490	1943
830	9502	1932
831	9512	1920
832	9523	1909
833	9534	1897
834	9546	1886
835	9558	1875
836	9571	1863
837	9583	1852
838	9595	1841
839	9606	1829
840	9619	1818
841	9631	1807
842	9642	1795
843	9655	1784
844	9667	1773
845	9678	1761
846	9691	1750
847	9702	1739
848	9713	1727
849	9724	1716
850	9735	1704
851	9746	1693
852	9757	1681
853	9770	1670
854	9782	1659
855	9794	1647
856	9805	1636
857	9817	1624
858	9828	1613
859	9840	1601
860	9852	1590
861	9863	1579
862	9875	1567
863	9887	1556
864	9898	1544
865	9910	1533
866	9921	1522
867	9933	1510
868	9944	1499
869	9955	1487
870	9967	1476
871	9978	1464
872	9989	1453
873	10000	1441
874	10012	1430
875	10023	1418
876	10033	1407
877	10045	1395
878	10056	1384
879	10068	1372
880	10080	1361
881	10091	1350
882	10102	1338
883	10113	1327
884	10125	1315
885	10135	1304
886	10147	1292
887	10158	1281
888	10170	1269
889	10181	1258
890	10192	1246
891	10204	1235
892	10215	1224
893	10227	1212
894	10239	1201
895	10250	1189
896	10262	1178
897	10274	1166
898	10286	1155
899	10298	1144
900	10310	1132
901	10323	1121
902	10334	1110
903	10345	1098
904	10357	1087
905	10368	1075
906	10380	1064
907	10391	1052
908	10403	1041
909	10415	1030
910	10427	1018
911	10438	1007
912	10450	995
913	10462	984
914	10474	973
915	10485	961
916	10497	950
917	10509	938
918	10521	927
919	10532	915
920	10544	904
921	10556	893
922	10568	881
923	10580	870
924	10592	858
925	10604	847
926	10615	835
927	10626	824
928	10638	813
929	10649	801
930	10661	790
931	10673	778
932	10684	767
933	10696	755
934	10707	744
935	10719	732
936	10731	721
937	10742	710
938	10754	698
939	10766	687
940	10778	675
941	10789	664
942	10801	652
943	10813	641
944	10824	630
945	10836	618
946	10846	607
947	10858	595
948	10869	584
949	10881	572
950	10893	561
951	10905	549
952	10917	538
953	10927	526
954	10939	515
955	10950	503
956	10961	492
957	10972	481
958	10985	469
959	10997	458
960	11010	446
961	11022	435
962	11033	423
963	11046	412
964	11058	401
965	11073	389
966	11086	378
967	11098	366
968	11113	355
969	11129	344
970	11144	332
971	11159	321
972	11173	310
973	11193	298
974	11211	287
975	11227	276
976	11240	264
977	11253	253
978	11266	241
979	11278	230
980	11290	218
981	11302	207
982	11315	195
983	11326	184
984	11338	172
985	11350	161
986	11362	149
987	11373	138
988	11384	126
989	11396	115
990	11408	103
991	11419	92
992	11431	80
993	11443	69
994	11454	57
995	11465	46
996	11477	34
997	11489	23
998	11501	11
999	11513	0
